LandCover_4_Mixedtrees,x,y
80.0,93.12500745,59.79167145
22.0,93.54167415,59.79167145
80.0,93.95834085,59.79167145
0.0,94.37500755,59.79167145
15.0,94.79167425,59.79167145
15.0,95.20834095,59.79167145
33.0,95.62500765,59.79167145
33.0,101.04167475,59.79167145
37.0,111.45834225,59.79167145
80.0,112.29167565,59.79167145
33.0,112.70834235,59.79167145
80.0,113.12500905,59.79167145
15.0,115.20834255,59.79167145
80.0,118.95834285,59.79167145
0.0,130.20834375,59.79167145
12.0,-161.04167955,59.37500475
30.0,-131.45834385,59.37500475
80.0,-119.79167625,59.37500475
40.0,-117.70834275,59.37500475
56.0,-116.45834265,59.37500475
24.0,-115.62500925,59.37500475
0.0,-115.20834255,59.37500475
89.0,-114.79167585,59.37500475
59.0,-114.37500915,59.37500475
0.0,-113.95834245,59.37500475
80.0,70.20833895,59.37500475
49.0,70.62500565,59.37500475
81.0,71.87500575,59.37500475
80.0,78.12500625,59.37500475
23.0,79.37500635,59.37500475
0.0,81.87500655,59.37500475
79.0,83.12500665,59.37500475
23.0,85.62500685,59.37500475
69.0,90.62500725,59.37500475
33.0,91.04167395,59.37500475
33.0,91.87500735,59.37500475
0.0,92.29167405,59.37500475
37.0,92.70834075,59.37500475
97.0,93.12500745,59.37500475
37.0,93.54167415,59.37500475
86.0,93.95834085,59.37500475
80.0,94.37500755,59.37500475
47.0,94.79167425,59.37500475
33.0,95.20834095,59.37500475
0.0,95.62500765,59.37500475
22.0,96.04167435,59.37500475
33.0,99.79167465,59.37500475
17.0,100.20834135,59.37500475
47.0,101.87500815,59.37500475
80.0,111.04167555,59.37500475
47.0,113.12500905,59.37500475
31.0,113.54167575,59.37500475
21.0,117.29167605,59.37500475
0.0,117.70834275,59.37500475
0.0,118.12500945,59.37500475
14.0,119.37500955,59.37500475
0.0,132.29167725,59.37500475
